var_id,var_label,var_units
flow_anomaly_7_day_min,Upper Willamette River,7-day min flow anomaly
flow_anomaly_7_day_min,Washington coast,7-day min flow anomaly
fork_length,Fork length,millimeters
groundfish_landings_ca,Landings (1000s mt),1000s metric tons
groundfish_landings_coastwide,Landings (1000s mt),1000s metric tons
groundfish_landings_or,Landings (1000s mt),1000s metric tons
groundfish_landings_wa,Landings (1000s mt),1000s metric tons
groundfish_revenue_ca,Revenue (millions $),Millions $ (year 2015)
groundfish_revenue_coastwide,Revenue (millions $),Millions $ (year 2015)
groundfish_revenue_or,Revenue (millions $),Millions $ (year 2015)
groundfish_revenue_wa,Revenue (millions $),Millions $ (year 2015)
habitat_modification,1000s km,Weighted 1000s km
hci_regn3,Habitat Area 35.5-40N,fraction below monthly threshold
hms_landings_ca,Landings (1000s mt),1000s metric tons
hms_landings_coastwide,Landings (1000s mt),1000s metric tons
hms_landings_or,Landings (1000s mt),1000s metric tons
hms_landings_wa,Landings (1000s mt),1000s metric tons
hms_revenue_ca,Revenue (millions $),Millions $ (year 2015)
hms_revenue_coastwide,Revenue (millions $),Millions $ (year 2015)
hms_revenue_or,Revenue (millions $),Millions $ (year 2015)
hms_revenue_wa,Revenue (millions $),Millions $ (year 2015)
humpback_anomaly,Relative abundance,Individuals / 3 km
humpback_rate,Relative abundance,Individuals / 3 km
intensity_1,NA,STDEV's from normal
live_pup_count,Average live pup count,numbers
lusi,LUSI,days
mean_cpue,Mean CPUE,ln(catch+1)
mean_density,Mean Density,Linear density (Log10(no. km-1+ 1)).
mean_growth_rate,Mean growth rate (kg/d),kg/day
mean_length,Carapace length,length (mm)
mean_trophic_level,NA,MTL
mean_weight,Mean weight (kg),kg
MEI,NA,Standardized Departure
NOI,NA,mb
northern_copepod_biomass_anomaly,mg C -m3,Biomass anomaly
NPGO,NA,Normalized
nph_area,NPH Area,10^6 km^2
number_of_entanglements,Number of Entanglements,NA
oil_gas_production,Oil & gas production,Normalized index
ONI,NA,degree_C
other_species_landings_ca,Landings (1000s mt),1000s metric tons
other_species_landings_coastwide,Landings (1000s mt),1000s metric tons
other_species_landings_or,Landings (1000s mt),1000s metric tons
other_species_landings_wa,Landings (1000s mt),1000s metric tons
other_species_revenue_ca,Revenue (millions $),Millions $ (year 2015)
other_species_revenue_coastwide,Revenue (millions $),Millions $ (year 2015)
other_species_revenue_or,Revenue (millions $),Millions $ (year 2015)
other_species_revenue_wa,Revenue (millions $),Millions $ (year 2015)
pacific_hake_landings_ca,Landings (1000s mt),1000s metric tons
pacific_hake_landings_coastwide,Landings (1000s mt),1000s metric tons
pacific_hake_landings_or,Landings (1000s mt),1000s metric tons
pacific_hake_landings_wa,Landings (1000s mt),1000s metric tons
pacific_hake_revenue_ca,Revenue (millions $),Millions $ (year 2015)
pacific_hake_revenue_coastwide,Revenue (millions $),Millions $ (year 2015)
pacific_hake_revenue_or,Revenue (millions $),Millions $ (year 2015)
pacific_hake_revenue_wa,Revenue (millions $),Millions $ (year 2015)
PDO,NA,Normalized
percent_diet,Percent Observed Diet,% observed diet
personal_catch,Personal Catch,Tons - 2000 lbs
productivity_anomaly,Productivity anomaly,Anomaly
recreational_landings_ca,Landings (1000s mt),1000s metric tons
recreational_landings_coastwide,Landings (1000s mt),1000s metric tons
recreational_landings_or,Landings (1000s mt),1000s metric tons
recreational_landings_wa,Landings (1000s mt),1000s metric tons
relative_abundance,Relative abundance,ln(abundance+1)
relative_stock_status,NA,relative biomass
salmon_com_landings_ca,Landings (1000s mt),1000s metric tons
salmon_com_landings_coastwide,Landings (1000s mt),1000s metric tons
salmon_com_landings_or,Landings (1000s mt),1000s metric tons
salmon_com_landings_wa,Landings (1000s mt),1000s metric tons
salmon_rec_landings_ca,Landings (1000s fish),1000s fish
salmon_rec_landings_coastwide,Landings (1000s fish),1000s fish
salmon_rec_landings_or,Landings (1000s fish),1000s fish
salmon_rec_landings_wa,Landings (1000s fish),1000s fish
salmon_revenue_ca,Revenue (millions $),Millions $ (year 2015)
salmon_revenue_coastwide,Revenue (millions $),Millions $ (year 2015)
salmon_revenue_or,Revenue (millions $),Millions $ (year 2015)
salmon_revenue_wa,Revenue (millions $),Millions $ (year 2015)
sea_level,NA,mm
shellfish_production,Production (1000s mt),metric tons
shipping_distance_traveled,Millions of km,Millions of km
shrimp_landings_ca,Landings (1000s mt),1000s metric tons
shrimp_landings_coastwide,Landings (1000s mt),1000s metric tons
shrimp_landings_or,Landings (1000s mt),1000s metric tons
shrimp_landings_wa,Landings (1000s mt),1000s metric tons
shrimp_revenue_ca,Revenue (millions $),Millions $ (year 2015)
