time,latitude,BEUTI
UTC,degrees_north,mmol m-1 s-1
1991-04-15T00:00:00Z,45.0,-1.209
1991-05-15T00:00:00Z,33.0,1.623
1991-05-15T00:00:00Z,39.0,43.141
1991-05-15T00:00:00Z,45.0,3.411
1991-06-15T00:00:00Z,33.0,0.188
1991-06-15T00:00:00Z,39.0,31.907
1991-06-15T00:00:00Z,45.0,3.638
1991-07-15T00:00:00Z,33.0,0.131
1991-07-15T00:00:00Z,39.0,14.444
1991-07-15T00:00:00Z,45.0,1.748
1991-08-15T00:00:00Z,33.0,0.021
1991-08-15T00:00:00Z,39.0,6.078
1991-08-15T00:00:00Z,45.0,0.436
1991-09-15T00:00:00Z,33.0,0.014
1991-09-15T00:00:00Z,39.0,4.394
1991-09-15T00:00:00Z,45.0,0.237
1991-10-15T00:00:00Z,33.0,0.018
1991-10-15T00:00:00Z,39.0,4.17
1991-10-15T00:00:00Z,45.0,1.151
1991-11-15T00:00:00Z,33.0,0.204
1991-11-15T00:00:00Z,39.0,11.18
1991-11-15T00:00:00Z,45.0,-0.773
1991-12-15T00:00:00Z,33.0,0.234
1991-12-15T00:00:00Z,39.0,1.533
1991-12-15T00:00:00Z,45.0,-1.206
1992-01-15T00:00:00Z,33.0,0.191
1992-01-15T00:00:00Z,39.0,1.345
1992-01-15T00:00:00Z,45.0,-7.41
1992-02-15T00:00:00Z,33.0,-0.045
1992-02-15T00:00:00Z,39.0,-2.57
1992-02-15T00:00:00Z,45.0,-1.782
1992-03-15T00:00:00Z,33.0,0.143
1992-03-15T00:00:00Z,39.0,0.604
1992-03-15T00:00:00Z,45.0,1.359
1992-04-15T00:00:00Z,33.0,0.052
1992-04-15T00:00:00Z,39.0,3.255
1992-04-15T00:00:00Z,45.0,0.042
1992-05-15T00:00:00Z,33.0,0.077
1992-05-15T00:00:00Z,39.0,10.61
1992-05-15T00:00:00Z,45.0,0.342
1992-06-15T00:00:00Z,33.0,0.058
1992-06-15T00:00:00Z,39.0,10.198
1992-06-15T00:00:00Z,45.0,0.403
1992-07-15T00:00:00Z,33.0,0.013
1992-07-15T00:00:00Z,39.0,5.536
1992-07-15T00:00:00Z,45.0,0.528
1992-08-15T00:00:00Z,33.0,0.003
1992-08-15T00:00:00Z,39.0,4.992
1992-08-15T00:00:00Z,45.0,0.507
1992-09-15T00:00:00Z,33.0,0.004
1992-09-15T00:00:00Z,39.0,3.8
1992-09-15T00:00:00Z,45.0,0.603
1992-10-15T00:00:00Z,33.0,0.003
1992-10-15T00:00:00Z,39.0,0.263
1992-10-15T00:00:00Z,45.0,0.406
1992-11-15T00:00:00Z,33.0,0.007
1992-11-15T00:00:00Z,39.0,0.884
1992-11-15T00:00:00Z,45.0,-0.141
1992-12-15T00:00:00Z,33.0,0.2
1992-12-15T00:00:00Z,39.0,2.796
1992-12-15T00:00:00Z,45.0,-0.54
1993-01-15T00:00:00Z,33.0,0.18
1993-01-15T00:00:00Z,39.0,-0.749
1993-01-15T00:00:00Z,45.0,-0.284
1993-02-15T00:00:00Z,33.0,0.151
1993-02-15T00:00:00Z,39.0,-1.228
1993-02-15T00:00:00Z,45.0,0.319
1993-03-15T00:00:00Z,33.0,0.228
1993-03-15T00:00:00Z,39.0,2.865
1993-03-15T00:00:00Z,45.0,-3.679
1993-04-15T00:00:00Z,33.0,0.262
1993-04-15T00:00:00Z,39.0,11.304
1993-04-15T00:00:00Z,45.0,-3.822
1993-05-15T00:00:00Z,33.0,0.093
1993-05-15T00:00:00Z,39.0,4.073
1993-05-15T00:00:00Z,45.0,-0.029
1993-06-15T00:00:00Z,33.0,0.016
1993-06-15T00:00:00Z,39.0,12.286
1993-06-15T00:00:00Z,45.0,0.082
1993-07-15T00:00:00Z,33.0,0.004
1993-07-15T00:00:00Z,39.0,17.71
1993-07-15T00:00:00Z,45.0,0.182
1993-08-15T00:00:00Z,33.0,0.008
1993-08-15T00:00:00Z,39.0,6.462
1993-08-15T00:00:00Z,45.0,0.309
1993-09-15T00:00:00Z,33.0,0.006
1993-09-15T00:00:00Z,39.0,6.922
1993-09-15T00:00:00Z,45.0,0.888
1993-10-15T00:00:00Z,33.0,0.002
1993-10-15T00:00:00Z,39.0,1.455
