year,data,metric,timeseries
2016,0.387259365,ln abundance,Merluccius.productus
2017,0.949364624,ln abundance,Merluccius.productus
2018,0.809484822,ln abundance,Merluccius.productus
2019,0.929942669,ln abundance,Merluccius.productus
1978,1.358567669,ln abundance,Trachurus.symmetricus
1981,0.968612805,ln abundance,Trachurus.symmetricus
1983,0.46211517,ln abundance,Trachurus.symmetricus
1984,0.42506937,ln abundance,Trachurus.symmetricus
1985,0.567940425,ln abundance,Trachurus.symmetricus
1986,1.108383011,ln abundance,Trachurus.symmetricus
1987,0.984600645,ln abundance,Trachurus.symmetricus
1988,0.503277455,ln abundance,Trachurus.symmetricus
1989,0.672437737,ln abundance,Trachurus.symmetricus
1990,0,ln abundance,Trachurus.symmetricus
1991,0.0631527,ln abundance,Trachurus.symmetricus
1992,0.756610535,ln abundance,Trachurus.symmetricus
1993,0.631577944,ln abundance,Trachurus.symmetricus
1994,1.101786078,ln abundance,Trachurus.symmetricus
1995,1.273287886,ln abundance,Trachurus.symmetricus
1996,1.415055467,ln abundance,Trachurus.symmetricus
1997,1.011899832,ln abundance,Trachurus.symmetricus
1998,1.029588773,ln abundance,Trachurus.symmetricus
1999,0.754631807,ln abundance,Trachurus.symmetricus
2000,0.684644907,ln abundance,Trachurus.symmetricus
2001,0.497230828,ln abundance,Trachurus.symmetricus
2002,0.917208576,ln abundance,Trachurus.symmetricus
2003,0.528451612,ln abundance,Trachurus.symmetricus
2004,0.674588868,ln abundance,Trachurus.symmetricus
2005,1.356445163,ln abundance,Trachurus.symmetricus
2006,0.398172713,ln abundance,Trachurus.symmetricus
2007,0.492623415,ln abundance,Trachurus.symmetricus
2008,0.199887829,ln abundance,Trachurus.symmetricus
2009,0.029563256,ln abundance,Trachurus.symmetricus
2010,0.304556493,ln abundance,Trachurus.symmetricus
2011,0.902152365,ln abundance,Trachurus.symmetricus
2012,0,ln abundance,Trachurus.symmetricus
2013,0.031120771,ln abundance,Trachurus.symmetricus
2014,1.244399361,ln abundance,Trachurus.symmetricus
2015,1.206794332,ln abundance,Trachurus.symmetricus
2016,0.952174486,ln abundance,Trachurus.symmetricus
2017,0.712852603,ln abundance,Trachurus.symmetricus
2018,0.363681887,ln abundance,Trachurus.symmetricus
2019,0.414413666,ln abundance,Trachurus.symmetricus
1978,0.934982718,ln abundance,Citharichthys1
1981,0.796796452,ln abundance,Citharichthys1
1983,0.032483358,ln abundance,Citharichthys1
1984,0,ln abundance,Citharichthys1
1985,0.256195714,ln abundance,Citharichthys1
1986,0.151261173,ln abundance,Citharichthys1
1987,0.528331084,ln abundance,Citharichthys1
1988,0.531052688,ln abundance,Citharichthys1
1989,0.723417408,ln abundance,Citharichthys1
1990,0.87200758,ln abundance,Citharichthys1
1991,1.29046175,ln abundance,Citharichthys1
1992,0.424842677,ln abundance,Citharichthys1
1993,0.636033978,ln abundance,Citharichthys1
1994,0.767257291,ln abundance,Citharichthys1
