year,index,metric,series_name,ass_year,CV
1927,0.89,Depletion,China rockfish CCA_SCA,2015,0
1928,0.89,Depletion,China rockfish CCA_SCA,2015,0
1929,0.89,Depletion,China rockfish CCA_SCA,2015,0
1930,0.88,Depletion,China rockfish CCA_SCA,2015,0
1931,0.88,Depletion,China rockfish CCA_SCA,2015,0
1932,0.88,Depletion,China rockfish CCA_SCA,2015,0
1933,0.87,Depletion,China rockfish CCA_SCA,2015,0
1934,0.87,Depletion,China rockfish CCA_SCA,2015,0
1935,0.86,Depletion,China rockfish CCA_SCA,2015,0
1936,0.86,Depletion,China rockfish CCA_SCA,2015,0
1937,0.85,Depletion,China rockfish CCA_SCA,2015,0
1938,0.85,Depletion,China rockfish CCA_SCA,2015,0
1939,0.85,Depletion,China rockfish CCA_SCA,2015,0
1940,0.85,Depletion,China rockfish CCA_SCA,2015,0
1941,0.85,Depletion,China rockfish CCA_SCA,2015,0
1942,0.85,Depletion,China rockfish CCA_SCA,2015,0
1943,0.86,Depletion,China rockfish CCA_SCA,2015,0
1944,0.86,Depletion,China rockfish CCA_SCA,2015,0
1945,0.87,Depletion,China rockfish CCA_SCA,2015,0
1946,0.87,Depletion,China rockfish CCA_SCA,2015,0
1947,0.87,Depletion,China rockfish CCA_SCA,2015,0
1948,0.87,Depletion,China rockfish CCA_SCA,2015,0
1949,0.87,Depletion,China rockfish CCA_SCA,2015,0
1950,0.86,Depletion,China rockfish CCA_SCA,2015,0
1951,0.85,Depletion,China rockfish CCA_SCA,2015,0
1952,0.84,Depletion,China rockfish CCA_SCA,2015,0
1953,0.83,Depletion,China rockfish CCA_SCA,2015,0
1954,0.83,Depletion,China rockfish CCA_SCA,2015,0
1955,0.82,Depletion,China rockfish CCA_SCA,2015,0
1956,0.82,Depletion,China rockfish CCA_SCA,2015,0
1957,0.81,Depletion,China rockfish CCA_SCA,2015,0
1958,0.8,Depletion,China rockfish CCA_SCA,2015,0
1959,0.78,Depletion,China rockfish CCA_SCA,2015,0
1960,0.77,Depletion,China rockfish CCA_SCA,2015,0
1961,0.76,Depletion,China rockfish CCA_SCA,2015,0
1962,0.75,Depletion,China rockfish CCA_SCA,2015,0
1963,0.75,Depletion,China rockfish CCA_SCA,2015,0
1964,0.74,Depletion,China rockfish CCA_SCA,2015,0
1965,0.74,Depletion,China rockfish CCA_SCA,2015,0
1966,0.73,Depletion,China rockfish CCA_SCA,2015,0
1967,0.72,Depletion,China rockfish CCA_SCA,2015,0
1968,0.71,Depletion,China rockfish CCA_SCA,2015,0
1969,0.69,Depletion,China rockfish CCA_SCA,2015,0
1970,0.68,Depletion,China rockfish CCA_SCA,2015,0
1971,0.66,Depletion,China rockfish CCA_SCA,2015,0
1972,0.65,Depletion,China rockfish CCA_SCA,2015,0
1973,0.62,Depletion,China rockfish CCA_SCA,2015,0
1974,0.59,Depletion,China rockfish CCA_SCA,2015,0
1975,0.56,Depletion,China rockfish CCA_SCA,2015,0
1976,0.53,Depletion,China rockfish CCA_SCA,2015,0
1977,0.5,Depletion,China rockfish CCA_SCA,2015,0
1978,0.47,Depletion,China rockfish CCA_SCA,2015,0
1979,0.46,Depletion,China rockfish CCA_SCA,2015,0
1980,0.43,Depletion,China rockfish CCA_SCA,2015,0
1981,0.41,Depletion,China rockfish CCA_SCA,2015,0
1982,0.42,Depletion,China rockfish CCA_SCA,2015,0
1983,0.4,Depletion,China rockfish CCA_SCA,2015,0
1984,0.41,Depletion,China rockfish CCA_SCA,2015,0
1985,0.42,Depletion,China rockfish CCA_SCA,2015,0
1986,0.41,Depletion,China rockfish CCA_SCA,2015,0
1987,0.39,Depletion,China rockfish CCA_SCA,2015,0
1988,0.35,Depletion,China rockfish CCA_SCA,2015,0
1989,0.33,Depletion,China rockfish CCA_SCA,2015,0
1990,0.32,Depletion,China rockfish CCA_SCA,2015,0
1991,0.3,Depletion,China rockfish CCA_SCA,2015,0
1992,0.28,Depletion,China rockfish CCA_SCA,2015,0
1993,0.25,Depletion,China rockfish CCA_SCA,2015,0
1994,0.23,Depletion,China rockfish CCA_SCA,2015,0
1995,0.19,Depletion,China rockfish CCA_SCA,2015,0
1996,0.16,Depletion,China rockfish CCA_SCA,2015,0
1997,0.16,Depletion,China rockfish CCA_SCA,2015,0
1998,0.15,Depletion,China rockfish CCA_SCA,2015,0
1999,0.16,Depletion,China rockfish CCA_SCA,2015,0
2000,0.16,Depletion,China rockfish CCA_SCA,2015,0
2001,0.17,Depletion,China rockfish CCA_SCA,2015,0
2002,0.18,Depletion,China rockfish CCA_SCA,2015,0
2003,0.18,Depletion,China rockfish CCA_SCA,2015,0
2004,0.19,Depletion,China rockfish CCA_SCA,2015,0
2005,0.21,Depletion,China rockfish CCA_SCA,2015,0
2006,0.22,Depletion,China rockfish CCA_SCA,2015,0
2007,0.23,Depletion,China rockfish CCA_SCA,2015,0
2008,0.24,Depletion,China rockfish CCA_SCA,2015,0
2009,0.24,Depletion,China rockfish CCA_SCA,2015,0
2010,0.25,Depletion,China rockfish CCA_SCA,2015,0
2011,0.25,Depletion,China rockfish CCA_SCA,2015,0
2012,0.25,Depletion,China rockfish CCA_SCA,2015,0
2013,0.26,Depletion,China rockfish CCA_SCA,2015,0
2014,0.27,Depletion,China rockfish CCA_SCA,2015,0
2015,0.28,Depletion,China rockfish CCA_SCA,2015,0
