year,anomaly,metric,timeseries,order
2003,-0.49844031,Density anomaly,Sooty shearwater  Spring - So CC,3
2004,-0.568906482,Density anomaly,Sooty shearwater  Spring - So CC,3
2005,-0.545863634,Density anomaly,Sooty shearwater  Spring - So CC,3
2006,-0.505616364,Density anomaly,Sooty shearwater  Spring - So CC,3
2007,NA,Density anomaly,Sooty shearwater  Spring - So CC,3
2008,-0.565320063,Density anomaly,Sooty shearwater  Spring - So CC,3
2009,-0.568906482,Density anomaly,Sooty shearwater  Spring - So CC,3
2010,0.179517856,Density anomaly,Sooty shearwater  Spring - So CC,3
2011,-0.435904995,Density anomaly,Sooty shearwater  Spring - So CC,3
2012,-0.539347679,Density anomaly,Sooty shearwater  Spring - So CC,3
2013,0.65486895,Density anomaly,Sooty shearwater  Spring - So CC,3
2014,0.34738425,Density anomaly,Sooty shearwater  Spring - So CC,3
2015,1.742638353,Density anomaly,Sooty shearwater  Spring - So CC,3
2016,0.401872435,Density anomaly,Sooty shearwater  Spring - So CC,3
2017,-0.068131194,Density anomaly,Sooty shearwater  Spring - So CC,3
2018,0.747501752,Density anomaly,Sooty shearwater  Spring - So CC,3
2019,-0.283727539,Density anomaly,Sooty shearwater  Spring - So CC,3
