time,index,timeseries
1961-11-16T00:00:00Z,-0.485,NOI
1961-12-16T12:00:00Z,3.942,NOI
1962-01-16T12:00:00Z,6.315,NOI
1962-02-15T00:00:00Z,-3.386,NOI
1962-03-16T12:00:00Z,-0.668,NOI
1962-04-16T00:00:00Z,2.794,NOI
1962-05-16T12:00:00Z,2.789,NOI
1962-06-16T00:00:00Z,1.669,NOI
1962-07-16T12:00:00Z,2.331,NOI
1962-08-16T12:00:00Z,0.312,NOI
1962-09-16T00:00:00Z,1.238,NOI
1962-10-16T12:00:00Z,0.218,NOI
1962-11-16T00:00:00Z,3.053,NOI
1962-12-16T12:00:00Z,-0.706,NOI
1963-01-16T12:00:00Z,2.157,NOI
1963-02-15T00:00:00Z,-2.644,NOI
1963-03-16T12:00:00Z,1.515,NOI
1963-04-16T00:00:00Z,-0.751,NOI
1963-05-16T12:00:00Z,0.777,NOI
1963-06-16T00:00:00Z,0.473,NOI
1963-07-16T12:00:00Z,-1.075,NOI
1963-08-16T12:00:00Z,1.157,NOI
1963-09-16T00:00:00Z,-3.54,NOI
1963-10-16T12:00:00Z,-2.379,NOI
1963-11-16T00:00:00Z,-2.134,NOI
1963-12-16T12:00:00Z,-0.29,NOI
1964-01-16T12:00:00Z,4.083,NOI
1964-02-15T12:00:00Z,5.868,NOI
1964-03-16T12:00:00Z,3.747,NOI
1964-04-16T00:00:00Z,4.372,NOI
1964-05-16T12:00:00Z,2.444,NOI
1964-06-16T00:00:00Z,0.674,NOI
1964-07-16T12:00:00Z,1.286,NOI
1964-08-16T12:00:00Z,0.695,NOI
1964-09-16T00:00:00Z,3.875,NOI
1964-10-16T12:00:00Z,-0.21,NOI
1964-11-16T00:00:00Z,1.038,NOI
1964-12-16T12:00:00Z,-0.177,NOI
1965-01-16T12:00:00Z,1.544,NOI
1965-02-15T00:00:00Z,4.769,NOI
1965-03-16T12:00:00Z,0.574,NOI
1965-04-16T00:00:00Z,-3.427,NOI
1965-05-16T12:00:00Z,3.785,NOI
1965-06-16T00:00:00Z,-0.584,NOI
1965-07-16T12:00:00Z,-1.284,NOI
1965-08-16T12:00:00Z,-1.343,NOI
1965-09-16T00:00:00Z,-0.285,NOI
1965-10-16T12:00:00Z,-0.635,NOI
1965-11-16T00:00:00Z,-7.802,NOI
1965-12-16T12:00:00Z,-1.142,NOI
