time,latitude,CUTI
UTC,degrees_north,m2 s-1
1991-05-15T00:00:00Z,33.0,0.696
1991-05-15T00:00:00Z,39.0,1.911
1991-05-15T00:00:00Z,45.0,0.39
1991-06-15T00:00:00Z,33.0,0.263
1991-06-15T00:00:00Z,39.0,1.409
1991-06-15T00:00:00Z,45.0,0.603
1991-07-15T00:00:00Z,33.0,0.237
1991-07-15T00:00:00Z,39.0,0.979
1991-07-15T00:00:00Z,45.0,0.653
1991-08-15T00:00:00Z,33.0,0.224
1991-08-15T00:00:00Z,39.0,0.895
1991-08-15T00:00:00Z,45.0,0.16
1991-09-15T00:00:00Z,33.0,0.224
1991-09-15T00:00:00Z,39.0,0.755
1991-09-15T00:00:00Z,45.0,0.558
1991-10-15T00:00:00Z,33.0,0.421
1991-10-15T00:00:00Z,39.0,0.746
1991-10-15T00:00:00Z,45.0,0.381
1991-11-15T00:00:00Z,33.0,0.436
1991-11-15T00:00:00Z,39.0,0.987
1991-11-15T00:00:00Z,45.0,-0.199
1991-12-15T00:00:00Z,33.0,0.151
1991-12-15T00:00:00Z,39.0,0.047
1991-12-15T00:00:00Z,45.0,-0.098
1992-01-15T00:00:00Z,33.0,0.11
1992-01-15T00:00:00Z,39.0,0.064
1992-01-15T00:00:00Z,45.0,-0.719
1992-02-15T00:00:00Z,33.0,0.061
1992-02-15T00:00:00Z,39.0,-0.324
1992-02-15T00:00:00Z,45.0,-0.212
1992-03-15T00:00:00Z,33.0,0.205
1992-03-15T00:00:00Z,39.0,0.185
1992-03-15T00:00:00Z,45.0,0.311
1992-04-15T00:00:00Z,33.0,0.459
1992-04-15T00:00:00Z,39.0,0.752
1992-04-15T00:00:00Z,45.0,-0.075
1992-05-15T00:00:00Z,33.0,0.36
1992-05-15T00:00:00Z,39.0,1.269
1992-05-15T00:00:00Z,45.0,0.614
1992-06-15T00:00:00Z,33.0,0.537
1992-06-15T00:00:00Z,39.0,0.832
1992-06-15T00:00:00Z,45.0,0.445
1992-07-15T00:00:00Z,33.0,0.299
1992-07-15T00:00:00Z,39.0,0.932
1992-07-15T00:00:00Z,45.0,0.551
1992-08-15T00:00:00Z,33.0,0.432
1992-08-15T00:00:00Z,39.0,0.78
1992-08-15T00:00:00Z,45.0,0.425
1992-09-15T00:00:00Z,33.0,0.49
1992-09-15T00:00:00Z,39.0,0.899
1992-09-15T00:00:00Z,45.0,0.283
1992-10-15T00:00:00Z,33.0,0.376
1992-10-15T00:00:00Z,39.0,0.473
1992-10-15T00:00:00Z,45.0,0.139
1992-11-15T00:00:00Z,33.0,0.41
1992-11-15T00:00:00Z,39.0,0.468
1992-11-15T00:00:00Z,45.0,-0.073
1992-12-15T00:00:00Z,33.0,0.421
1992-12-15T00:00:00Z,39.0,0.447
1992-12-15T00:00:00Z,45.0,-0.036
1993-01-15T00:00:00Z,33.0,0.144
1993-01-15T00:00:00Z,39.0,-0.055
1993-01-15T00:00:00Z,45.0,-0.035
1993-02-15T00:00:00Z,33.0,0.142
1993-02-15T00:00:00Z,39.0,-0.135
1993-02-15T00:00:00Z,45.0,-0.039
1993-03-15T00:00:00Z,33.0,0.401
1993-03-15T00:00:00Z,39.0,0.334
1993-03-15T00:00:00Z,45.0,-0.259
1993-04-15T00:00:00Z,33.0,0.662
1993-04-15T00:00:00Z,39.0,1.036
1993-04-15T00:00:00Z,45.0,-0.468
1993-05-15T00:00:00Z,33.0,0.505
1993-05-15T00:00:00Z,39.0,0.189
1993-05-15T00:00:00Z,45.0,0.034
1993-06-15T00:00:00Z,33.0,0.356
1993-06-15T00:00:00Z,39.0,1.928
1993-06-15T00:00:00Z,45.0,0.369
1993-07-15T00:00:00Z,33.0,0.147
1993-07-15T00:00:00Z,39.0,1.483
1993-07-15T00:00:00Z,45.0,0.448
1993-08-15T00:00:00Z,33.0,0.284
1993-08-15T00:00:00Z,39.0,1.049
1993-08-15T00:00:00Z,45.0,0.539
1993-09-15T00:00:00Z,33.0,0.305
1993-09-15T00:00:00Z,39.0,1.13
1993-09-15T00:00:00Z,45.0,0.371
1993-10-15T00:00:00Z,33.0,0.165
1993-10-15T00:00:00Z,39.0,0.355
1993-10-15T00:00:00Z,45.0,0.169
1993-11-15T00:00:00Z,33.0,0.204
1993-11-15T00:00:00Z,39.0,0.691
1993-11-15T00:00:00Z,45.0,0.27
1993-12-15T00:00:00Z,33.0,0.359
1993-12-15T00:00:00Z,39.0,0.029
1993-12-15T00:00:00Z,45.0,-0.602
1994-01-15T00:00:00Z,33.0,0.291
1994-01-15T00:00:00Z,39.0,0.259
1994-01-15T00:00:00Z,45.0,-0.237
1994-02-15T00:00:00Z,33.0,0.199
1994-02-15T00:00:00Z,39.0,0.153
1994-02-15T00:00:00Z,45.0,-0.367
1994-03-15T00:00:00Z,33.0,0.35
1994-03-15T00:00:00Z,39.0,0.494
1994-03-15T00:00:00Z,45.0,0.072
1994-04-15T00:00:00Z,33.0,0.558
1994-04-15T00:00:00Z,39.0,1.277
1994-04-15T00:00:00Z,45.0,0.135
1994-05-15T00:00:00Z,33.0,0.348
1994-05-15T00:00:00Z,39.0,1.066
1994-05-15T00:00:00Z,45.0,0.436
1994-06-15T00:00:00Z,33.0,0.277
1994-06-15T00:00:00Z,39.0,1.439
1994-06-15T00:00:00Z,45.0,0.387
1994-07-15T00:00:00Z,33.0,0.236
1994-07-15T00:00:00Z,39.0,0.948
1994-07-15T00:00:00Z,45.0,0.675
1994-08-15T00:00:00Z,33.0,0.25
1994-08-15T00:00:00Z,39.0,0.995
1994-08-15T00:00:00Z,45.0,0.308
1994-09-15T00:00:00Z,33.0,0.38
1994-09-15T00:00:00Z,39.0,0.64
1994-09-15T00:00:00Z,45.0,0.334
1994-10-15T00:00:00Z,33.0,0.302
1994-10-15T00:00:00Z,39.0,1.159
