year,data,error,SElo,SEup,metric,timeseries,lat,lon,depth,order,time
1967,4.482532627158036,1.232899711049187,3.2496329161088484,5.715432338207223,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1967
1968,0.4582542803998396,0.4582542803998396,0.0,0.9165085607996792,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1968
1969,1.248847571830819,1.2380986539281573,0.010748917902661637,2.4869462257589765,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1969
1970,0.08149991244352434,0.08149991244352434,0.0,0.16299982488704867,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1970
1971,4.288063646454033,0.6505532520904378,3.637510394363595,4.9386168985444705,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1971
1972,2.2661260048817153,1.637263399238314,0.6288626056434012,3.9033894041200297,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1972
1973,1.4186714310819915,0.1473504179551164,1.271321013126875,1.5660218490371078,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1973
1974,3.0765088741143196,2.791297744142743,0.2852111299715765,5.867806618257063,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1974
1975,3.4693722300679415,1.8563011608966329,1.6130710691713086,5.325673390964575,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1975
1976,4.196749302087011,0.9029435834563875,3.2938057186306233,5.099692885543399,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1976
1977,2.367035232454796,1.3516653139260733,1.0153699185287226,3.718700546380869,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1977
1978,0.032991063580166784,0.032991063580166784,0.0,0.06598212716033357,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1978
1979,2.5877174219979318,1.9754832546448298,0.612234167353102,4.5632006766427615,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1979
1980,0.00569756202654271,0.00569756202654271,0.0,0.01139512405308542,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1980
1981,0.4134966051141684,0.3915003393319978,0.02199626578217062,0.8049969444461662,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1981
1982,2.25277075067711,1.2837858676689673,0.9689848830081429,3.5365566183460775,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1982
1983,0.016611802523918792,0.005384463258251865,0.011227339265666927,0.021996265782170656,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1983
1984,3.6743607777027822,0.6513368930052252,3.0230238846975572,4.325697670708007,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1984
1985,3.0699231511548577,1.9194334918578217,1.150489659297036,4.9893566430126794,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1985
1986,0.02736738964041226,0.005183054456737671,0.02218433518367459,0.03255044409714993,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1986
1987,1.5224374518612394,1.5224374518612394,0.0,3.0448749037224787,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1987
1988,2.185423760414385,0.770786215673635,1.4146375447407498,2.95620997608802,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1988
1989,5.627650356475768,1.2506661062115905,4.376984250264178,6.8783164626873585,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1989
1990,5.016900977758045,0.6859280426104251,4.33097293514762,5.70282902036847,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1990
1991,0.9893221997905519,0.534453758988134,0.45486844080241795,1.5237759587786859,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1991
1992,0.264064014456725,0.23065234000738347,0.03341167444934154,0.49471635446410844,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1992
1993,0.005613669632833464,0.005613669632833464,0.0,0.011227339265666929,Area (10^6 km^2),North Pacific High January - February Area,nan,nan,nan,1.0,1993
