time,vwnd,nobs,stdev
1991-11-01T00:00:00Z, 2.522059,340,7.4323
1991-12-01T00:00:00Z, 2.478426,737,4.6287
1992-01-01T00:00:00Z, 3.103972,579,5.5976
1992-03-01T00:00:00Z,-2.125784,733,4.6999
1992-04-01T00:00:00Z, 1.688687,716,5.2417
1992-05-01T00:00:00Z,-5.145676,740,3.5268
1992-06-01T00:00:00Z,-2.235854,714,6.0074
1992-07-01T00:00:00Z,-3.112314,739,4.1754
1992-08-01T00:00:00Z,-2.553981,741,4.5299
1992-09-01T00:00:00Z,-1.609659,704,4.8699
1992-10-01T00:00:00Z,-0.006812,734,6.4346
1992-11-01T00:00:00Z, 1.431224,711,5.3079
1992-12-01T00:00:00Z, 1.810641,733,5.8877
1993-01-01T00:00:00Z, 2.138705,726,5.0018
1993-02-01T00:00:00Z, 0.189812,638,4.3635
1993-03-01T00:00:00Z, 1.338897,725,5.7644
1993-04-01T00:00:00Z, 4.356417,709,4.7744
1993-05-01T00:00:00Z, 1.529670,728,4.7539
1993-06-01T00:00:00Z,-2.167194,695,5.2400
1993-07-01T00:00:00Z,-3.368630,730,4.1144
1993-08-01T00:00:00Z,-2.742179,716,4.6627
1993-09-01T00:00:00Z,-2.538507,683,3.8152
1993-10-01T00:00:00Z,-0.338798,732,4.0926
1993-11-01T00:00:00Z,-0.855237,697,4.5885
1993-12-01T00:00:00Z, 7.317453,212,6.6535
1994-03-01T00:00:00Z, 1.086861,548,5.2819
1994-04-01T00:00:00Z, 0.074722,720,5.7383
1994-05-01T00:00:00Z,-1.704871,739,5.3138
1994-06-01T00:00:00Z,-1.605014,718,5.0466
1994-07-01T00:00:00Z,-4.566850,727,4.4062
1994-08-01T00:00:00Z,-1.923378,740,3.3215
1995-05-01T00:00:00Z,-3.992049,742,4.6461
1995-06-01T00:00:00Z,-1.833986,715,6.1061
1995-07-01T00:00:00Z,-2.307827,741,4.6469
1995-08-01T00:00:00Z,-1.641655,737,4.3247
1995-09-01T00:00:00Z,-0.291888,715,4.9788
1995-10-01T00:00:00Z,-0.962027,740,5.1983
1995-11-01T00:00:00Z, 4.003933,712,5.8805
1995-12-01T00:00:00Z, 3.858514,740,5.5150
