"","NAME","TERM","ID","mean","sd","ZEROTWOFIVEquant","FIVEquant","NINESEVENFIVEquant","mode","kld","TYPE","RESPONSE","REGION","Ecoregion","Year"
"101","TS.MM.CU","Year",10,19.8532951404294,0.5621385756507,18.750517844362,19.8527990818182,20.9580114228336,19.8518791870175,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",1990
"111","TS.MM.CU","Year",11,18.8276829689725,0.557855258989501,17.7338605919463,18.8269927059044,19.924562138947,18.8256958564332,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",1991
"121","TS.MM.CU","Year",12,19.8386124184326,0.54267356779657,18.7731920994456,19.8383877549268,20.9045030232989,19.8379958575471,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",1992
"131","TS.MM.CU","Year",13,17.4495696326856,0.513945565974111,16.4395194245974,17.449766207824,18.4577276122169,17.4501941500626,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",1993
"141","TS.MM.CU","Year",14,18.8806577582754,0.501499282552848,17.8942158989774,18.8811331975706,19.863644712846,18.8821131543302,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",1994
"151","TS.MM.CU","Year",15,16.956614428215,0.49331887306564,15.9869868017043,16.9568211555994,17.9243534086253,16.9572705263504,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",1995
"161","TS.MM.CU","Year",16,17.2042841414838,0.491057067980094,16.2386094936576,17.2046580373335,18.1671140356011,17.2054327990446,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",1996
"171","TS.MM.CU","Year",17,17.767131094258,0.441495657921484,16.8980112650021,17.7677337187869,18.6322106130775,17.7689618941229,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",1997
"181","TS.MM.CU","Year",18,18.5988666712725,0.445721953032422,17.7213019610997,18.5995174284049,19.472117026539,18.6008399672025,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",1998
"191","TS.MM.CU","Year",19,17.5130553618636,0.460792633339805,16.6058467669319,17.5137294474786,18.4157843368961,17.5150920888816,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",1999
"201","TS.MM.CU","Year",20,18.1371715909412,0.445318351053881,17.261603453874,18.1373995468545,19.0108742115356,18.1378994646486,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",2000
"211","TS.MM.CU","Year",21,18.7186334759754,0.426766472782049,17.8784647515643,18.7192100388373,19.5549002957953,18.7203764783854,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",2001
"221","TS.MM.CU","Year",22,17.5386460549241,0.442876766792046,16.666945974159,17.5391904875649,18.4066050520654,17.5402880274629,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",2002
"231","TS.MM.CU","Year",23,18.476274591721,0.456443835341407,17.5784401593121,18.4766242418433,19.3714976661105,18.4773470916184,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",2003
"24","TS.MM.CU","Year",24,18.5056187295374,0.426107470049862,17.6670915075915,18.5060788342017,19.3409418001912,18.5070231441262,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",2004
"25","TS.MM.CU","Year",25,18.3075110644688,0.415048995918796,17.4900222890571,18.3081947222276,19.120515501155,18.3095740968736,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",2005
"26","TS.MM.CU","Year",26,17.8704543374107,0.424367639541832,17.0355909385089,17.8708238283744,18.7026238106181,17.8715886271351,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",2006
"27","TS.MM.CU","Year",27,18.2721319046805,0.424968779645232,17.4369216295878,18.2722096410709,19.1063536167955,18.2724096991163,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",2007
"28","TS.MM.CU","Year",28,17.5856954613748,0.423730664312563,16.7520710854226,17.5860722483676,18.4165840830022,17.5868516311069,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",2008
"29","TS.MM.CU","Year",29,17.8621877959411,0.426905569968309,17.021510672005,17.8628444962067,18.6984994137086,17.86416247786,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",2009
"30","TS.MM.CU","Year",30,17.8515455704203,0.415332887461515,17.0338314822827,17.8521164412914,18.6654124676422,17.8532710061445,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",2010
"31","TS.MM.CU","Year",31,17.7810118360987,0.408968872971916,16.9754662665716,17.7816910325918,18.5820917096185,17.7830570659417,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",2011
"32","TS.MM.CU","Year",32,18.154096967621,0.397591266766688,17.3711818894966,18.1546588507924,18.933232954947,18.1557946464682,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",2012
"33","TS.MM.CU","Year",33,18.5268206371256,0.397525714265745,17.7441065445612,18.5273617952107,19.3058786115191,18.5284593771778,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",2013
"34","TS.MM.CU","Year",34,18.2839666053,0.397413331667011,17.5015372888615,18.2844744974738,19.0629225731175,18.2855013807285,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",2014
"35","TS.MM.CU","Year",35,18.6503867876668,0.405272001539777,17.8527217076705,18.6508341307854,19.4449143731055,18.651741479107,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",2015
"36","TS.MM.CU","Year",36,18.4168604388073,0.398946089303528,17.631313877379,18.4174072633185,19.1987037974503,18.4185088491714,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",2016
"37","TS.MM.CU","Year",37,18.1705555957405,0.399182366364613,17.3847599382957,18.171027140054,18.9530863613228,18.1719828398435,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",2017
"38","TS.MM.CU","Year",38,18.136031116384,0.39619758955396,17.3550611013674,18.1368615769668,18.9116701997377,18.1385143279053,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",2018
"39","TS.MM.CU","Year",39,18.5158635176849,0.398667226804323,17.7305971588625,18.5165047014088,19.2968838291159,18.5177905490732,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",2019
"40","TS.MM.CU","Year",40,18.3634848069297,0.401524679916654,17.5734312605756,18.3638433273783,19.1509355108411,18.3645818511741,0,"Time Series","AugMeanMax","CU","Columbia Unglaciated",2020
"012","TS.MM.ORNCA","Year",1,20.0532535046742,0.529115162965282,19.0053134063222,20.0556594577921,21.0865868662326,20.060369974812,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",1981
"022","TS.MM.ORNCA","Year",2,19.1177726826883,0.541257307970922,18.0519577992289,19.1181545240923,20.1799721489811,19.1188643884799,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",1982
"032","TS.MM.ORNCA","Year",3,18.5892864734437,0.538667121966453,17.5252952821951,18.5907828008914,19.6436041207457,18.593696082373,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",1983
"042","TS.MM.ORNCA","Year",4,19.1760244079387,0.574922667057466,18.0414356174806,19.1772579003642,20.3023233329367,19.1796803361135,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",1984
"052","TS.MM.ORNCA","Year",5,19.0029106649274,0.570864851142743,17.8776604913773,19.0037071982327,20.1222515099698,19.0052478230566,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",1985
"062","TS.MM.ORNCA","Year",6,20.2043892716667,0.589410641313021,19.0397502208132,20.2061378057354,21.3579340239566,20.2096183928285,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",1986
"072","TS.MM.ORNCA","Year",7,19.6920174400705,0.588552224524153,18.5278311653436,19.6942037171586,20.8427764184689,19.6985892003297,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",1987
"082","TS.MM.ORNCA","Year",8,20.3531985631835,0.616028847216367,19.1374678528188,20.3545748534693,21.5597984303207,20.3573037410386,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",1988
"092","TS.MM.ORNCA","Year",9,19.4736531665815,0.616240759809658,18.2586403757364,19.4746301451892,20.6816854188309,19.4765483203397,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",1989
"102","TS.MM.ORNCA","Year",10,20.4886215649355,0.610635414943071,19.2851023777779,20.4894118169143,21.6861608310912,20.4909406899627,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",1990
"112","TS.MM.ORNCA","Year",11,20.5654196662811,0.623281496290848,19.3400478547261,20.5651651017828,21.7904052435502,20.5645591356555,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",1991
"122","TS.MM.ORNCA","Year",12,21.0169949628394,0.619364185762396,19.7944264895266,21.0184987570303,22.2297544780262,21.0214938723662,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",1992
"132","TS.MM.ORNCA","Year",13,19.2172619059906,0.629074407332973,17.9794878804253,19.217381279235,20.4526422194864,19.2175472023689,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",1993
"142","TS.MM.ORNCA","Year",14,20.6523455310105,0.621929432005505,19.4263603907507,20.6532241886306,21.8718660030166,20.6549496466365,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",1994
"152","TS.MM.ORNCA","Year",15,19.0169154522072,0.611370952440642,17.81207764599,19.0176951867799,20.2158528408513,19.0192121791208,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",1995
"162","TS.MM.ORNCA","Year",16,19.8082650111867,0.605450791205784,18.6133542775916,19.8096013199721,20.994274818113,19.8122489474615,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",1996
"172","TS.MM.ORNCA","Year",17,20.1877713206168,0.601829869524418,19.0012248027831,20.188673263405,21.3677545609023,20.1904275726807,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",1997
"182","TS.MM.ORNCA","Year",18,20.0521614169866,0.575524862368536,18.916916271696,20.0531986849997,21.1801733882527,20.0552267407379,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",1998
"192","TS.MM.ORNCA","Year",19,19.1614120783731,0.571759946466916,18.0306213776912,19.1634750200657,20.2794330017183,19.1675607193122,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",1999
"202","TS.MM.ORNCA","Year",20,20.0583319317688,0.56935154035745,18.9341196973057,20.0597388569466,21.1733012211759,20.0624908948474,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",2000
"212","TS.MM.ORNCA","Year",21,20.9103662211701,0.541284459690111,19.8367836304611,20.913462040108,21.9657667567122,20.9196282705057,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",2001
"222","TS.MM.ORNCA","Year",22,19.5659345291654,0.541327092528435,18.4952109575017,19.5679151055831,20.6243416235667,19.5717868376097,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",2002
"232","TS.MM.ORNCA","Year",23,20.3142394786738,0.537005562707523,19.2528042787469,20.315934703115,21.364922456858,20.3192483505537,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",2003
"241","TS.MM.ORNCA","Year",24,20.512519956983,0.536665763082866,19.4520746041925,20.5141220679098,21.5627130015788,20.5172438699994,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",2004
"251","TS.MM.ORNCA","Year",25,20.495876978622,0.534483606176651,19.4408758492662,20.4970521633895,21.5429507734831,20.4993347673112,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",2005
"261","TS.MM.ORNCA","Year",26,19.3077678866122,0.555422543704356,18.2110395621169,19.3091274834887,20.3955696082899,19.3118093872149,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",2006
"271","TS.MM.ORNCA","Year",27,20.0890630533719,0.555232183608785,18.9935056557213,20.0901390474028,21.1772033329087,20.0922349552242,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",2007
"281","TS.MM.ORNCA","Year",28,19.4990130420335,0.537928044255911,18.4365195279952,19.5004391312269,20.5522243947379,19.5032206349235,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",2008
"291","TS.MM.ORNCA","Year",29,19.4808151078445,0.522587633605485,18.4458413003126,19.4832189467096,20.5012838802645,19.487942243467,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",2009
"301","TS.MM.ORNCA","Year",30,19.155686126811,0.510660810195503,18.1449540444694,19.1577773553388,20.1536111281586,19.1618646060164,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",2010
"311","TS.MM.ORNCA","Year",31,19.4588004619193,0.509514150551296,18.4517827982174,19.4603802502293,20.4557557840093,19.4634595582372,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",2011
"321","TS.MM.ORNCA","Year",32,19.7495966220927,0.507328532136468,18.7460963154184,19.7514390854861,20.7416251340162,19.7550286640084,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",2012
"331","TS.MM.ORNCA","Year",33,19.8520558370632,0.510580922888836,18.8431971845176,19.8535403892651,20.8513284972042,19.8564070760339,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",2013
"341","TS.MM.ORNCA","Year",34,20.4828232749708,0.510208909590111,19.473987630037,20.4845632941168,21.480735649555,20.4879580620967,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",2014
"351","TS.MM.ORNCA","Year",35,20.0391789734965,0.519685899509051,19.0124901833069,20.040647299271,21.0563817142332,20.0434931747658,0,"Time Series","AugMeanMax","ORNCA","OR & N CA Coast",2015
