year,data,anomaly,Seup,Selo,metric,timeseries,order
1994,4364.437064,-0.295985059,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
1995,3359.442939,-0.492390425,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
1996,5913,0.006649615,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
1997,8250,0.463368045,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
1998,2398,-0.68028461,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
1999,1468,-0.862033921,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
2000,11754,1.148152547,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
2001,13210,1.432697706,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
2002,10188,0.842110159,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
2003,7910,0.396922061,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
2004,25763,3.885922549,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
2005,10455,0.8942898,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
2006,4259,-0.316590558,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
2007,5336,-0.10611313,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
2008,465,-1.058049577,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
2009,2799,-0.601917434,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
2010,4284,-0.311704824,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
2011,5033,-0.165328228,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
2012,5792,-0.016997339,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
2013,12354,1.265410167,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
2014,2664,-0.628300399,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
2015,4487,-0.272032663,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
2016,7568,0.330085217,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
2017,4773,-0.216139864,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
2018,9238,0.65645226,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
2019,NA,NA,NA,NA,Abundance Index,s.OR-n.CA Coast Coho,13
1995,86,-0.977392989,NA,NA,Abundance Index,CA Coastal Coho,14
1996,254,0.541870724,NA,NA,Abundance Index,CA Coastal Coho,14
1997,253,0.532827488,NA,NA,Abundance Index,CA Coastal Coho,14
1998,184,-0.091155823,NA,NA,Abundance Index,CA Coastal Coho,14
1999,203,0.080665669,NA,NA,Abundance Index,CA Coastal Coho,14
2000,204,0.089708905,NA,NA,Abundance Index,CA Coastal Coho,14
2001,286,0.831254289,NA,NA,Abundance Index,CA Coastal Coho,14
2002,158,-0.326279969,NA,NA,Abundance Index,CA Coastal Coho,14
2003,383,1.708448218,NA,NA,Abundance Index,CA Coastal Coho,14
2004,496,2.730333929,NA,NA,Abundance Index,CA Coastal Coho,14
2005,190,-0.036896404,NA,NA,Abundance Index,CA Coastal Coho,14
2006,338,1.301502581,NA,NA,Abundance Index,CA Coastal Coho,14
2007,148,-0.416712333,NA,NA,Abundance Index,CA Coastal Coho,14
2008,26,-1.519987172,NA,NA,Abundance Index,CA Coastal Coho,14
2009,51,-1.293906262,NA,NA,Abundance Index,CA Coastal Coho,14
2010,80,-1.031652407,NA,NA,Abundance Index,CA Coastal Coho,14
2011,130,-0.579490588,NA,NA,Abundance Index,CA Coastal Coho,14
2012,217,0.207270978,NA,NA,Abundance Index,CA Coastal Coho,14
2013,188,-0.054982877,NA,NA,Abundance Index,CA Coastal Coho,14
2014,140,-0.489058224,NA,NA,Abundance Index,CA Coastal Coho,14
2015,226,0.288660105,NA,NA,Abundance Index,CA Coastal Coho,14
2016,158,-0.326279969,NA,NA,Abundance Index,CA Coastal Coho,14
2017,103,-0.82365797,NA,NA,Abundance Index,CA Coastal Coho,14
2018,306,1.012119016,NA,NA,Abundance Index,CA Coastal Coho,14
2019,44,-1.357208917,NA,NA,Abundance Index,CA Coastal Coho,14
2002,2367,-0.753847237,NA,NA,Abundance,Lower Columbia Coho,15
2003,3843,-0.351488449,NA,NA,Abundance,Lower Columbia Coho,15
2004,3946,-0.323410566,NA,NA,Abundance,Lower Columbia Coho,15
2005,2157,-0.811093406,NA,NA,Abundance,Lower Columbia Coho,15
2006,4387,-0.203193611,NA,NA,Abundance,Lower Columbia Coho,15
2007,4125,-0.274615022,NA,NA,Abundance,Lower Columbia Coho,15
2008,3077,-0.560300666,NA,NA,Abundance,Lower Columbia Coho,15
2009,10135,1.363715816,NA,NA,Abundance,Lower Columbia Coho,15
2010,4910,-0.06062339,NA,NA,Abundance,Lower Columbia Coho,15
2011,5747,0.167543484,NA,NA,Abundance,Lower Columbia Coho,15
2012,2828,-0.628178266,NA,NA,Abundance,Lower Columbia Coho,15
2013,4679,-0.123594176,NA,NA,Abundance,Lower Columbia Coho,15
2014,16614,3.129896432,NA,NA,Abundance,Lower Columbia Coho,15
2015,2227,-0.79201135,NA,NA,Abundance,Lower Columbia Coho,15
2016,2567,-0.699327076,NA,NA,Abundance,Lower Columbia Coho,15
2017,9982,1.322007893,NA,NA,Abundance,Lower Columbia Coho,15
2018,3696,-0.391560767,NA,NA,Abundance,Lower Columbia Coho,15
2019,5096,-0.00991964,NA,NA,Abundance,Lower Columbia Coho,15
1994,47024,-0.909430358,NA,NA,Abundance,Oregon coast Coho,16
1995,60771,-0.767334113,NA,NA,Abundance,Oregon coast Coho,16
1996,81022,-0.558009093,NA,NA,Abundance,Oregon coast Coho,16
1997,23661,-1.150922652,NA,NA,Abundance,Oregon coast Coho,16
1998,32475,-1.059816498,NA,NA,Abundance,Oregon coast Coho,16
1999,47042,-0.909244301,NA,NA,Abundance,Oregon coast Coho,16
2000,73691,-0.633786177,NA,NA,Abundance,Oregon coast Coho,16
2001,161818,0.27714099,NA,NA,Abundance,Oregon coast Coho,16
2002,253094,1.220617882,NA,NA,Abundance,Oregon coast Coho,16
2003,227557,0.956653977,NA,NA,Abundance,Oregon coast Coho,16
2004,163938,0.299054428,NA,NA,Abundance,Oregon coast Coho,16
2005,152237,0.178106719,NA,NA,Abundance,Oregon coast Coho,16
2006,126230,-0.090715354,NA,NA,Abundance,Oregon coast Coho,16
2007,65348,-0.720023827,NA,NA,Abundance,Oregon coast Coho,16
2008,175137,0.414813201,NA,NA,Abundance,Oregon coast Coho,16
2009,258885,1.280476714,NA,NA,Abundance,Oregon coast Coho,16
2010,278900,1.487362313,NA,NA,Abundance,Oregon coast Coho,16
2011,350315,2.225545431,NA,NA,Abundance,Oregon coast Coho,16
2012,98387,-0.378515292,NA,NA,Abundance,Oregon coast Coho,16
2013,122178,-0.132598964,NA,NA,Abundance,Oregon coast Coho,16
2014,352968,2.252968239,NA,NA,Abundance,Oregon coast Coho,16
2015,55823,-0.818479252,NA,NA,Abundance,Oregon coast Coho,16
2016,74732,-0.623025852,NA,NA,Abundance,Oregon coast Coho,16
2017,59436,-0.781133378,NA,NA,Abundance,Oregon coast Coho,16
2018,73291,-0.637920788,NA,NA,Abundance,Oregon coast Coho,16
2019,94201,-0.421783996,NA,NA,Abundance,Oregon coast Coho,16
